year,model_name,uses_covariates,train_size,pred_n,start,end_date,est_start,est_end,start_dev,end_dev,duration,est_duration,total_dev,duration_dev
2000,chronos.conservative.t5.large,False,0,1,2000-01-09,2000-09-01,2000-01-31,2000-02-17,22,197,236,17,219,219
2000,chronos.conservative.t5.large,False,0,2,2000-01-09,2000-09-01,2000-02-01,2000-02-15,23,199,236,14,222,222
2000,chronos.conservative.t5.large,False,0,3,2000-01-09,2000-09-01,2000-02-02,2000-02-16,24,198,236,14,222,222
2000,chronos.conservative.t5.large,False,0,4,2000-01-09,2000-09-01,2000-02-03,2000-02-14,25,200,236,11,225,225
2000,chronos.conservative.t5.large,False,0,5,2000-01-09,2000-09-01,2000-02-04,2000-02-15,26,199,236,11,225,225
2000,chronos.conservative.t5.large,False,0,6,2000-01-09,2000-09-01,2000-02-05,2000-02-15,27,199,236,10,226,226
2000,chronos.conservative.t5.large,False,0,7,2000-01-09,2000-09-01,2000-02-06,2000-02-16,28,198,236,10,226,226
2000,chronos.conservative.bolt.tiny,False,0,1,2000-01-09,2000-09-01,1999-09-03,2000-12-11,128,101,236,465,229,-229
2000,chronos.conservative.bolt.tiny,False,0,2,2000-01-09,2000-09-01,1999-08-13,2000-10-06,149,35,236,420,184,-184
2000,chronos.conservative.bolt.tiny,False,0,3,2000-01-09,2000-09-01,1999-08-09,2000-09-07,153,6,236,395,159,-159
2000,chronos.conservative.bolt.tiny,False,0,4,2000-01-09,2000-09-01,1999-08-09,2000-09-03,153,2,236,391,155,-155
2000,chronos.conservative.bolt.tiny,False,0,5,2000-01-09,2000-09-01,1999-08-07,2000-09-26,155,25,236,416,180,-180
2000,chronos.conservative.bolt.tiny,False,0,6,2000-01-09,2000-09-01,1999-08-08,2000-10-02,154,31,236,421,185,-185
2000,chronos.conservative.bolt.tiny,False,0,7,2000-01-09,2000-09-01,1999-08-07,2000-11-29,155,89,236,480,244,-244
2000,nbeats.five.years.train,False,1825,1,2000-01-09,2000-09-01,2000-01-14,2000-03-20,5,165,236,66,170,170
2000,nbeats.five.years.train,False,1825,2,2000-01-09,2000-09-01,2000-01-15,2000-03-21,6,164,236,66,170,170
2000,nbeats.five.years.train,False,1825,3,2000-01-09,2000-09-01,2000-01-16,2000-03-22,7,163,236,66,170,170
2000,nbeats.five.years.train,False,1825,4,2000-01-09,2000-09-01,2000-01-17,2000-03-23,8,162,236,66,170,170
2000,nbeats.five.years.train,False,1825,5,2000-01-09,2000-09-01,2000-01-18,2000-03-24,9,161,236,66,170,170
2000,nbeats.five.years.train,False,1825,6,2000-01-09,2000-09-01,2000-01-19,2000-03-25,10,160,236,66,170,170
2000,nbeats.five.years.train,False,1825,7,2000-01-09,2000-09-01,2000-01-20,2000-03-26,11,159,236,66,170,170
2000,moirai.stochastic.large,False,0,1,2000-01-09,2000-09-01,1999-07-09,2000-12-12,184,102,236,522,286,-286
2000,moirai.stochastic.large,False,0,2,2000-01-09,2000-09-01,1999-07-15,2000-12-10,178,100,236,514,278,-278
2000,moirai.stochastic.large,False,0,3,2000-01-09,2000-09-01,1999-07-28,2000-12-22,165,112,236,513,277,-277
2000,moirai.stochastic.large,False,0,4,2000-01-09,2000-09-01,1999-07-12,2000-11-26,181,86,236,503,267,-267
2000,moirai.stochastic.large,False,0,5,2000-01-09,2000-09-01,1999-07-12,2000-12-05,181,95,236,512,276,-276
2000,moirai.stochastic.large,False,0,6,2000-01-09,2000-09-01,1999-07-10,2000-12-26,183,116,236,535,299,-299
2000,moirai.stochastic.large,False,0,7,2000-01-09,2000-09-01,1999-07-19,2000-12-07,174,97,236,507,271,-271
2000,chronos.stochastic.t5.mini,False,0,1,2000-01-09,2000-09-01,2000-01-24,2000-02-17,15,197,236,24,212,212
2000,chronos.stochastic.t5.mini,False,0,2,2000-01-09,2000-09-01,2000-01-29,2000-02-18,20,196,236,20,216,216
2000,chronos.stochastic.t5.mini,False,0,3,2000-01-09,2000-09-01,2000-02-02,2000-02-18,24,196,236,16,220,220
2000,chronos.stochastic.t5.mini,False,0,4,2000-01-09,2000-09-01,2000-02-03,2000-02-18,25,196,236,15,221,221
2000,chronos.stochastic.t5.mini,False,0,5,2000-01-09,2000-09-01,2000-02-04,2000-02-19,26,195,236,15,221,221
2000,chronos.stochastic.t5.mini,False,0,6,2000-01-09,2000-09-01,2000-02-05,2000-02-19,27,195,236,14,222,222
