year,model_name,uses_covariates,train_size,pred_n,start,end_date,est_start,est_end,start_dev,end_dev,duration,est_duration,total_dev,duration_dev
2000,chronos.conservative.t5.large,False,0,1,2000-01-17,2000-02-16,2000-01-31,2000-02-14,14.0,2.0,30,14.0,16.0,16.0
2000,chronos.conservative.t5.large,False,0,2,2000-01-17,2000-02-16,2000-02-01,2000-02-15,15.0,1.0,30,14.0,16.0,16.0
2000,chronos.conservative.t5.large,False,0,3,2000-01-17,2000-02-16,2000-02-02,2000-02-10,16.0,6.0,30,8.0,22.0,22.0
2000,chronos.conservative.t5.large,False,0,4,2000-01-17,2000-02-16,2000-02-03,2000-02-11,17.0,5.0,30,8.0,22.0,22.0
2000,chronos.conservative.t5.large,False,0,5,2000-01-17,2000-02-16,2000-02-04,2000-02-12,18.0,4.0,30,8.0,22.0,22.0
2000,chronos.conservative.t5.large,False,0,6,2000-01-17,2000-02-16,2000-02-05,2000-02-13,19.0,3.0,30,8.0,22.0,22.0
2000,chronos.conservative.t5.large,False,0,7,2000-01-17,2000-02-16,2000-02-06,2000-02-14,20.0,2.0,30,8.0,22.0,22.0
2000,chronos.conservative.bolt.tiny,False,0,1,2000-01-17,2000-02-16,2000-01-31,2000-02-11,14.0,5.0,30,11.0,19.0,19.0
2000,chronos.conservative.bolt.tiny,False,0,2,2000-01-17,2000-02-16,2000-02-01,2000-02-12,15.0,4.0,30,11.0,19.0,19.0
2000,chronos.conservative.bolt.tiny,False,0,3,2000-01-17,2000-02-16,2000-02-02,2000-02-13,16.0,3.0,30,11.0,19.0,19.0
2000,chronos.conservative.bolt.tiny,False,0,4,2000-01-17,2000-02-16,2000-02-03,2000-02-14,17.0,2.0,30,11.0,19.0,19.0
2000,chronos.conservative.bolt.tiny,False,0,5,2000-01-17,2000-02-16,2000-02-04,2000-02-15,18.0,1.0,30,11.0,19.0,19.0
2000,chronos.conservative.bolt.tiny,False,0,6,2000-01-17,2000-02-16,2000-02-05,2000-02-16,19.0,0.0,30,11.0,19.0,19.0
2000,chronos.conservative.bolt.tiny,False,0,7,2000-01-17,2000-02-16,2000-02-06,2000-02-17,20.0,1.0,30,11.0,21.0,19.0
2000,nbeats.five.years.train,False,1825,1,2000-01-17,2000-02-16,2000-01-31,2000-02-18,14.0,2.0,30,18.0,16.0,12.0
2000,nbeats.five.years.train,False,1825,2,2000-01-17,2000-02-16,2000-02-01,2000-02-22,15.0,6.0,30,21.0,21.0,9.0
2000,nbeats.five.years.train,False,1825,3,2000-01-17,2000-02-16,2000-02-02,2000-02-23,16.0,7.0,30,21.0,23.0,9.0
2000,nbeats.five.years.train,False,1825,4,2000-01-17,2000-02-16,2000-02-03,2000-02-24,17.0,8.0,30,21.0,25.0,9.0
2000,nbeats.five.years.train,False,1825,5,2000-01-17,2000-02-16,2000-02-04,2000-02-25,18.0,9.0,30,21.0,27.0,9.0
2000,nbeats.five.years.train,False,1825,6,2000-01-17,2000-02-16,2000-02-05,2000-02-26,19.0,10.0,30,21.0,29.0,9.0
2000,nbeats.five.years.train,False,1825,7,2000-01-17,2000-02-16,2000-02-06,2000-02-24,20.0,8.0,30,18.0,28.0,12.0
2000,moirai.stochastic.large,False,0,1,2000-01-17,2000-02-16,2000-01-21,2000-02-20,4.0,4.0,30,30.0,8.0,0.0
2000,moirai.stochastic.large,False,0,2,2000-01-17,2000-02-16,2000-01-22,2000-12-04,5.0,292.0,30,317.0,297.0,-287.0
2000,moirai.stochastic.large,False,0,3,2000-01-17,2000-02-16,1999-11-09,2000-02-20,69.0,4.0,30,103.0,73.0,-73.0
2000,moirai.stochastic.large,False,0,4,2000-01-17,2000-02-16,2000-01-24,2000-02-23,7.0,7.0,30,30.0,14.0,0.0
2000,moirai.stochastic.large,False,0,5,2000-01-17,2000-02-16,1999-09-22,2000-02-24,117.0,8.0,30,155.0,125.0,-125.0
2000,moirai.stochastic.large,False,0,6,2000-01-17,2000-02-16,2000-01-27,2000-02-22,10.0,6.0,30,26.0,16.0,4.0
2000,moirai.stochastic.large,False,0,7,2000-01-17,2000-02-16,1999-07-22,2000-02-27,179.0,11.0,30,220.0,190.0,-190.0
2000,chronos.stochastic.t5.mini,False,0,1,2000-01-17,2000-02-16,2000-01-31,2000-02-08,14.0,8.0,30,8.0,22.0,22.0
2000,chronos.stochastic.t5.mini,False,0,2,2000-01-17,2000-02-16,2000-02-07,2000-02-09,21.0,7.0,30,2.0,28.0,28.0
2000,chronos.stochastic.t5.mini,False,0,3,2000-01-17,2000-02-16,2000-02-08,2000-02-10,22.0,6.0,30,2.0,28.0,28.0
2000,chronos.stochastic.t5.mini,False,0,4,2000-01-17,2000-02-16,,,,,30,,0.0,30.0
2000,chronos.stochastic.t5.mini,False,0,5,2000-01-17,2000-02-16,,,,,30,,0.0,30.0
2000,chronos.stochastic.t5.mini,False,0,6,2000-01-17,2000-02-16,,,,,30,,0.0,30.0
2000,chronos.stochastic.t5.mini,False,0,7,2000-01-17,2000-02-16,,,,,30,,0.0,30.0
2000,chronos.conservative.t5.base,False,0,1,2000-01-17,2000-02-16,2000-01-31,2000-02-11,14.0,5.0,30,11.0,19.0,19.0
2000,chronos.conservative.t5.base,False,0,2,2000-01-17,2000-02-16,2000-02-01,2000-02-11,15.0,5.0,30,10.0,20.0,20.0
2000,chronos.conservative.t5.base,False,0,3,2000-01-17,2000-02-16,2000-02-02,2000-02-12,16.0,4.0,30,10.0,20.0,20.0
2000,chronos.conservative.t5.base,False,0,4,2000-01-17,2000-02-16,2000-02-03,2000-02-13,17.0,3.0,30,10.0,20.0,20.0
2000,chronos.conservative.t5.base,False,0,5,2000-01-17,2000-02-16,2000-02-04,2000-02-14,18.0,2.0,30,10.0,20.0,20.0
2000,chronos.conservative.t5.base,False,0,6,2000-01-17,2000-02-16,2000-02-05,2000-02-15,19.0,1.0,30,10.0,20.0,20.0
2000,chronos.conservative.t5.base,False,0,7,2000-01-17,2000-02-16,2000-02-06,2000-02-16,20.0,0.0,30,10.0,20.0,20.0
2000,chronos.conservative.bolt.mini,False,0,1,2000-01-17,2000-02-16,2000-01-31,2000-02-17,14.0,1.0,30,17.0,15.0,13.0
2000,chronos.conservative.bolt.mini,False,0,2,2000-01-17,2000-02-16,2000-02-01,2000-02-12,15.0,4.0,30,11.0,19.0,19.0
2000,chronos.conservative.bolt.mini,False,0,3,2000-01-17,2000-02-16,2000-02-02,2000-02-13,16.0,3.0,30,11.0,19.0,19.0
2000,chronos.conservative.bolt.mini,False,0,4,2000-01-17,2000-02-16,2000-02-03,2000-02-14,17.0,2.0,30,11.0,19.0,19.0
2000,chronos.conservative.bolt.mini,False,0,5,2000-01-17,2000-02-16,2000-02-04,2000-02-15,18.0,1.0,30,11.0,19.0,19.0
2000,chronos.conservative.bolt.mini,False,0,6,2000-01-17,2000-02-16,2000-02-05,2000-02-16,19.0,0.0,30,11.0,19.0,19.0
2000,chronos.conservative.bolt.mini,False,0,7,2000-01-17,2000-02-16,2000-02-06,2000-02-17,20.0,1.0,30,11.0,21.0,19.0
2000,nbeats.one.year.train,False,365,1,2000-01-17,2000-02-16,2000-01-31,2000-02-25,14.0,9.0,30,25.0,23.0,5.0
2000,nbeats.one.year.train,False,365,2,2000-01-17,2000-02-16,2000-02-01,2000-02-26,15.0,10.0,30,25.0,25.0,5.0
2000,nbeats.one.year.train,False,365,3,2000-01-17,2000-02-16,2000-02-02,2000-02-27,16.0,11.0,30,25.0,27.0,5.0
2000,nbeats.one.year.train,False,365,4,2000-01-17,2000-02-16,2000-02-03,2000-02-28,17.0,12.0,30,25.0,29.0,5.0
2000,nbeats.one.year.train,False,365,5,2000-01-17,2000-02-16,2000-02-04,2000-02-29,18.0,13.0,30,25.0,31.0,5.0
2000,nbeats.one.year.train,False,365,6,2000-01-17,2000-02-16,2000-02-05,2000-03-01,19.0,14.0,30,25.0,33.0,5.0
2000,nbeats.one.year.train,False,365,7,2000-01-17,2000-02-16,2000-02-06,2000-03-02,20.0,15.0,30,25.0,35.0,5.0
2000,moirai.stochastic.base,False,0,1,2000-01-17,2000-02-16,1999-07-08,2000-02-17,193.0,1.0,30,224.0,194.0,-194.0
2000,moirai.stochastic.base,False,0,2,2000-01-17,2000-02-16,2000-02-05,2000-05-18,19.0,92.0,30,103.0,111.0,-73.0
2000,moirai.stochastic.base,False,0,3,2000-01-17,2000-02-16,1999-09-18,2000-09-04,121.0,201.0,30,352.0,322.0,-322.0
2000,moirai.stochastic.base,False,0,4,2000-01-17,2000-02-16,1999-07-04,2000-09-04,197.0,201.0,30,428.0,398.0,-398.0
2000,moirai.stochastic.base,False,0,5,2000-01-17,2000-02-16,1999-10-02,2000-02-18,107.0,2.0,30,139.0,109.0,-109.0
2000,moirai.stochastic.base,False,0,6,2000-01-17,2000-02-16,1999-07-21,2000-10-27,180.0,254.0,30,464.0,434.0,-434.0
2000,moirai.stochastic.base,False,0,7,2000-01-17,2000-02-16,1999-08-12,2000-12-27,158.0,315.0,30,503.0,473.0,-473.0
2000,chronos.stochastic.bolt.small,False,0,1,2000-01-17,2000-02-16,2000-01-31,2000-02-17,14.0,1.0,30,17.0,15.0,13.0
2000,chronos.stochastic.bolt.small,False,0,2,2000-01-17,2000-02-16,2000-02-01,2000-02-15,15.0,1.0,30,14.0,16.0,16.0
2000,chronos.stochastic.bolt.small,False,0,3,2000-01-17,2000-02-16,2000-02-05,2000-02-16,19.0,0.0,30,11.0,19.0,19.0
2000,chronos.stochastic.bolt.small,False,0,4,2000-01-17,2000-02-16,2000-02-06,2000-02-17,20.0,1.0,30,11.0,21.0,19.0
2000,chronos.stochastic.bolt.small,False,0,5,2000-01-17,2000-02-16,2000-02-07,2000-02-15,21.0,1.0,30,8.0,22.0,22.0
2000,chronos.stochastic.bolt.small,False,0,6,2000-01-17,2000-02-16,2000-02-08,2000-02-16,22.0,0.0,30,8.0,22.0,22.0
2000,chronos.stochastic.bolt.small,False,0,7,2000-01-17,2000-02-16,2000-02-09,2000-02-17,23.0,1.0,30,8.0,24.0,22.0
2000,chronos.stochastic.t5.tiny,False,0,1,2000-01-17,2000-02-16,2000-01-31,2000-02-11,14.0,5.0,30,11.0,19.0,19.0
2000,chronos.stochastic.t5.tiny,False,0,2,2000-01-17,2000-02-16,2000-02-01,2000-02-12,15.0,4.0,30,11.0,19.0,19.0
2000,chronos.stochastic.t5.tiny,False,0,3,2000-01-17,2000-02-16,2000-02-02,2000-02-13,16.0,3.0,30,11.0,19.0,19.0
2000,chronos.stochastic.t5.tiny,False,0,4,2000-01-17,2000-02-16,2000-02-03,2000-02-14,17.0,2.0,30,11.0,19.0,19.0
2000,chronos.stochastic.t5.tiny,False,0,5,2000-01-17,2000-02-16,2000-02-04,2000-02-15,18.0,1.0,30,11.0,19.0,19.0
2000,chronos.stochastic.t5.tiny,False,0,6,2000-01-17,2000-02-16,2000-02-05,2000-02-16,19.0,0.0,30,11.0,19.0,19.0
2000,chronos.stochastic.t5.tiny,False,0,7,2000-01-17,2000-02-16,2000-02-06,2000-02-17,20.0,1.0,30,11.0,21.0,19.0
2000,chronos.stochastic.bolt.tiny,False,0,1,2000-01-17,2000-02-16,2000-01-31,2000-02-11,14.0,5.0,30,11.0,19.0,19.0
2000,chronos.stochastic.bolt.tiny,False,0,2,2000-01-17,2000-02-16,2000-02-01,2000-02-12,15.0,4.0,30,11.0,19.0,19.0
2000,chronos.stochastic.bolt.tiny,False,0,3,2000-01-17,2000-02-16,2000-02-02,2000-02-13,16.0,3.0,30,11.0,19.0,19.0
2000,chronos.stochastic.bolt.tiny,False,0,4,2000-01-17,2000-02-16,2000-02-03,2000-02-14,17.0,2.0,30,11.0,19.0,19.0
2000,chronos.stochastic.bolt.tiny,False,0,5,2000-01-17,2000-02-16,2000-02-04,2000-02-15,18.0,1.0,30,11.0,19.0,19.0
2000,chronos.stochastic.bolt.tiny,False,0,6,2000-01-17,2000-02-16,2000-02-05,2000-02-16,19.0,0.0,30,11.0,19.0,19.0
2000,chronos.stochastic.bolt.tiny,False,0,7,2000-01-17,2000-02-16,2000-02-06,2000-02-17,20.0,1.0,30,11.0,21.0,19.0
2000,chronos.stochastic.t5.large,False,0,1,2000-01-17,2000-02-16,2000-01-31,2000-02-11,14.0,5.0,30,11.0,19.0,19.0
2000,chronos.stochastic.t5.large,False,0,2,2000-01-17,2000-02-16,2000-02-01,2000-02-12,15.0,4.0,30,11.0,19.0,19.0
2000,chronos.stochastic.t5.large,False,0,3,2000-01-17,2000-02-16,2000-02-02,2000-02-10,16.0,6.0,30,8.0,22.0,22.0
2000,chronos.stochastic.t5.large,False,0,4,2000-01-17,2000-02-16,2000-02-03,2000-02-11,17.0,5.0,30,8.0,22.0,22.0
2000,chronos.stochastic.t5.large,False,0,5,2000-01-17,2000-02-16,2000-02-04,2000-02-12,18.0,4.0,30,8.0,22.0,22.0
2000,chronos.stochastic.t5.large,False,0,6,2000-01-17,2000-02-16,2000-02-05,2000-02-13,19.0,3.0,30,8.0,22.0,22.0
2000,chronos.stochastic.t5.large,False,0,7,2000-01-17,2000-02-16,2000-02-06,2000-02-14,20.0,2.0,30,8.0,22.0,22.0
2000,chronos.auto.t5.large,False,0,1,2000-01-17,2000-02-16,2000-01-18,2000-02-18,1.0,2.0,30,31.0,3.0,-1.0
2000,chronos.auto.t5.large,False,0,2,2000-01-17,2000-02-16,2000-02-01,2000-02-12,15.0,4.0,30,11.0,19.0,19.0
2000,chronos.auto.t5.large,False,0,3,2000-01-17,2000-02-16,2000-02-02,2000-02-20,16.0,4.0,30,18.0,20.0,12.0
2000,chronos.auto.t5.large,False,0,4,2000-01-17,2000-02-16,2000-02-03,2000-02-11,17.0,5.0,30,8.0,22.0,22.0
2000,chronos.auto.t5.large,False,0,5,2000-01-17,2000-02-16,2000-02-04,2000-02-14,18.0,2.0,30,10.0,20.0,20.0
2000,chronos.auto.t5.large,False,0,6,2000-01-17,2000-02-16,2000-02-07,2000-02-12,21.0,4.0,30,5.0,25.0,25.0
2000,chronos.auto.t5.large,False,0,7,2000-01-17,2000-02-16,2000-02-09,2000-02-14,23.0,2.0,30,5.0,25.0,25.0
2000,chronos.auto.bolt.small,False,0,1,2000-01-17,2000-02-16,2000-01-31,2000-02-17,14.0,1.0,30,17.0,15.0,13.0
2000,chronos.auto.bolt.small,False,0,2,2000-01-17,2000-02-16,2000-02-01,2000-02-15,15.0,1.0,30,14.0,16.0,16.0
2000,chronos.auto.bolt.small,False,0,3,2000-01-17,2000-02-16,2000-02-05,2000-02-16,19.0,0.0,30,11.0,19.0,19.0
2000,chronos.auto.bolt.small,False,0,4,2000-01-17,2000-02-16,2000-02-06,2000-02-17,20.0,1.0,30,11.0,21.0,19.0
2000,chronos.auto.bolt.small,False,0,5,2000-01-17,2000-02-16,2000-02-07,2000-02-15,21.0,1.0,30,8.0,22.0,22.0
2000,chronos.auto.bolt.small,False,0,6,2000-01-17,2000-02-16,2000-02-08,2000-02-16,22.0,0.0,30,8.0,22.0,22.0
2000,chronos.auto.bolt.small,False,0,7,2000-01-17,2000-02-16,2000-02-09,2000-02-17,23.0,1.0,30,8.0,24.0,22.0
2000,chronos.conservative.bolt.base,False,0,1,2000-01-17,2000-02-16,2000-01-31,2000-02-17,14.0,1.0,30,17.0,15.0,13.0
2000,chronos.conservative.bolt.base,False,0,2,2000-01-17,2000-02-16,2000-02-01,2000-02-15,15.0,1.0,30,14.0,16.0,16.0
2000,chronos.conservative.bolt.base,False,0,3,2000-01-17,2000-02-16,2000-02-05,2000-02-16,19.0,0.0,30,11.0,19.0,19.0
2000,chronos.conservative.bolt.base,False,0,4,2000-01-17,2000-02-16,2000-02-06,2000-02-14,20.0,2.0,30,8.0,22.0,22.0
2000,chronos.conservative.bolt.base,False,0,5,2000-01-17,2000-02-16,2000-02-07,2000-02-12,21.0,4.0,30,5.0,25.0,25.0
2000,chronos.conservative.bolt.base,False,0,6,2000-01-17,2000-02-16,2000-02-08,2000-02-13,22.0,3.0,30,5.0,25.0,25.0
2000,chronos.conservative.bolt.base,False,0,7,2000-01-17,2000-02-16,2000-02-12,2000-02-14,26.0,2.0,30,2.0,28.0,28.0
2000,chronos.auto.bolt.mini,False,0,1,2000-01-17,2000-02-16,2000-01-31,2000-02-17,14.0,1.0,30,17.0,15.0,13.0
